max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
0 : mul(mul(21, 7), add(10, 7))
0 : mul(add(23, -9), mul(41, 19))
4 : add(mul(-9, 7), add(k, -27))
0 : add(add(1, 17), add(-27, 49))
0 : mul(mul(-27, -27), mul(21, -9))
0 : mul(mul(13, -1), mul(49, k))
0 : mul(mul(43, 3), add(45, -9))
0 : add(add(-2, 45), mul(-27, 33))
1 : add(mul(19, 5), mul(4, 11))
0 : mul(mul(21, 41), add(3, -9))
0 : mul(add(13, k), mul(-15, -15))
0 : add(mul(1, add(25, 4)), mul(23, 9))
0 : add(add(-9, 9), mul(19, 21))
0 : mul(add(17, 21), add(45, 13))
0 : mul(add(45, 5), mul(-24, 3))
0 : add(add(25, 15), mul(37, 7))
0 : add(mul(3, -27), add(-11, 5))
0 : add(add(45, -27), mul(41, 2))
0 : add(add(19, -11), mul(-27, 19))
0 : add(mul(41, -11), add(41, -11))
0 : mul(mul(-15, 21), add(6, 27))
0 : mul(mul(13, -3), mul(13, 13))
0 : mul(add(41, 2), mul(2, -11))
0 : add(add(21, 45), add(-11, 3))
0 : mul(mul(7, -27), add(-27, 1))
0 : mul(add(5, 13), add(5, 2))
0 : mul(mul(33, -27), add(43, 9))
0 : mul(add(41, -3), mul(13, 41))
0 : add(add(9, 3), add(25, 41))
0 : mul(add(6, 25), add(9, 45))
0 : mul(add(-27, 45), mul(31, 21))
0 : mul(mul(41, 33), mul(43, 41))
0 : mul(add(21, 21), add(k, -27))
0 : mul(add(13, -27), mul(41, 45))
0 : add(mul(add(41, -9), 3), mul(21, 2))
0 : add(add(-24, -9), add(-27, 3))
0 : mul(add(10, -11), mul(41, 7))
0 : mul(add(21, -11), mul(41, -9))
0 : add(add(25, 2), mul(21, 45))
0 : mul(mul(-1, 7), add(-27, 41))
0 : add(mul(-11, 41), mul(-9, 5))
0 : mul(add(-2, -15), mul(13, -1))
0 : add(mul(-9, 13), add(45, 41))
0 : add(mul(-27, -3), mul(49, 13))
0 : mul(add(-9, -27), add(-27, 15))
0 : mul(mul(21, 41), add(2, 21))
0 : mul(mul(11, 5), mul(2, 3))
0 : add(add(-27, 23), add(17, 41))
0 : add(add(33, k), mul(41, -27))
0 : add(mul(25, -27), add(-11, 26))
0 : add(mul(9, 7), add(7, 41))
0 : add(add(25, 21), add(1, -3))
0 : add(add(-9, 21), add(2, 8))
0 : add(mul(-11, 10), add(25, -27))
0 : mul(add(-27, -3), mul(31, 5))
0 : mul(mul(-27, 41), add(-24, k))
0 : mul(mul(41, 2), mul(-27, 33))
0 : mul(mul(9, 10), add(29, 9))
0 : add(add(7, -15), add(-27, -3))
0 : mul(add(33, 5), mul(6, 25))
1 : add(mul(49, 1), add(-11, 45))
19 : add(add(-11, -24), add(k, 4))
0 : add(mul(5, 3), add(-24, 45))
0 : mul(add(7, 13), add(-24, 41))
0 : add(add(-11, 21), mul(0, 21))
0 : mul(add(15, -9), mul(19, -11))
0 : add(mul(-27, 21), add(7, 13))
0 : add(add(21, -9), add(-27, -27))
0 : mul(add(21, 7), add(3, 13))
0 : add(add(8, 7), add(27, 2))
0 : add(add(41, 41), add(3, 21))
0 : mul(mul(15, 41), add(21, -24))
0 : mul(add(7, 41), mul(15, 21))
0 : mul(add(5, 21), mul(-9, -15))
0 : mul(mul(-11, 33), mul(-9, 23))
0 : mul(add(-2, 45), mul(45, 10))
0 : mul(mul(7, 17), mul(7, 13))
0 : mul(mul(1, 45), mul(41, 21))
0 : add(mul(15, 13), mul(-27, 37))
0 : add(add(27, 2), add(29, add(mul(45, -9), 41)))
0 : mul(add(-1, 17), add(-9, 13))
0 : mul(mul(41, 2), mul(k, 7))
0 : mul(mul(1, -15), mul(5, 3))
0 : add(mul(-9, 45), mul(41, -3))
0 : mul(add(7, -3), add(13, 13))
0 : add(mul(41, -15), mul(45, 25))
0 : add(add(7, 2), add(31, 9))
0 : mul(add(k, 15), add(-27, 33))
0 : mul(add(10, 21), mul(41, 1))
0 : add(mul(2, 5), mul(-9, -27))
0 : add(add(41, 41), add(-11, 13))
0 : mul(mul(k, 41), mul(41, 5))
0 : mul(add(5, k), add(-2, 7))
0 : mul(add(-3, 4), mul(k, -27))
0 : mul(add(45, 21), mul(-24, 11))
0 : add(add(3, 19), mul(2, 41))
0 : mul(add(45, 7), add(0, 5))
1 : add(add(-24, 21), add(15, 41))
0 : mul(add(-24, 7), mul(41, 21))
0 : mul(add(43, 25), add(7, 5))
0 : add(add(21, 5), add(1, 5))
0 : mul(mul(7, -24), add(-27, 33))
0 : add(add(7, -27), add(45, 5))
