max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 500, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
20 : add(add(41, k), add(21, 33))
24 : add(add(k, 9), add(9, -4))
14 : add(add(15, 21), mul(k, k))
21 : add(add(4, k), add(-3, 31))
86 : add(add(41, k), mul(k, k))
24 : add(add(7, k), add(19, -18))
19 : add(add(41, k), add(21, 19))
19 : add(add(5, k), mul(9, 9))
17 : add(mul(13, k), add(9, -3))
25 : add(add(-3, 2), add(k, 11))
22 : add(add(9, k), add(6, 5))
16 : add(mul(k, k), add(9, 37))
23 : add(add(k, 9), add(5, 5))
25 : add(add(-37, k), add(-3, 41))
21 : add(add(9, k), add(3, 27))
24 : add(mul(-3, 4), add(k, 9))
22 : add(add(-3, 2), add(k, 41))
21 : add(add(-3, 9), add(37, k))
24 : add(add(k, 5), add(5, 5))
24 : add(mul(9, k), add(9, 23))
24 : add(add(21, -10), add(k, 5))
23 : add(add(41, k), mul(19, -3))
21 : add(add(19, k), mul(5, 3))
20 : add(add(k, 2), mul(6, 9))
24 : add(add(k, -3), add(-7, 5))
22 : add(add(25, k), add(add(-3, 9), -3))
29 : add(mul(37, k), add(k, 7))
20 : add(add(31, 9), add(k, 5))
24 : add(add(3, k), add(5, 9))
22 : add(add(9, k), add(4, 7))
22 : add(add(9, k), add(9, 23))
20 : add(mul(9, 4), add(25, k))
14 : add(mul(k, k), add(21, k))
13 : add(mul(k, k), add(k, 9))
21 : add(add(9, k), add(7, 27))
24 : add(add(k, 2), add(9, -18))
21 : add(mul(9, -3), add(k, 5))
23 : add(add(k, 9), add(5, 5))
20 : add(add(k, 41), add(-3, 8))
23 : add(add(5, 5), add(k, 9))
22 : add(add(9, k), add(4, 7))
21 : add(add(11, 9), add(k, 5))
21 : add(mul(-3, 9), add(k, 5))
16 : add(add(k, -3), mul(-18, mul(5, -4)))
25 : add(add(k, 11), add(15, -15))
20 : add(mul(3, 15), add(9, k))
13 : add(add(k, 9), mul(k, k))
