max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.1, 

Maximum Fitness: 86
Fitness score : Individual 
15 : add(mul(add(-8, mul(add(k, -19), add(-19, k))), k), add(31, add(21, 5)))
44 : add(add(k, k), add(6, -1))
22 : add(add(41, -12), add(0, k))
20 : add(add(7, k), add(39, -1))
14 : add(add(5, k), mul(21, 31))
19 : add(add(-1, 41), add(41, k))
24 : add(add(21, k), mul(5, -1))
17 : add(add(13, 19), mul(13, k))
21 : add(add(21, k), add(21, -8))
21 : add(add(-1, 13), add(41, k))
23 : add(add(27, -19), add(k, 11))
16 : add(mul(23, k), add(41, -1))
22 : add(add(39, 21), add(k, -19))
18 : add(add(13, k), mul(41, 4))
19 : add(add(k, 19), add(39, 4))
20 : add(add(-8, -19), add(-1, k))
22 : add(add(41, k), add(-19, -1))
20 : add(add(39, k), add(13, 19))
21 : add(add(-19, 13), add(k, 39))
20 : add(add(43, k), add(-19, 21))
21 : add(add(-1, 13), add(k, 13))
24 : add(add(k, -8), mul(0, 7))
16 : add(mul(21, 21), add(k, -19))
21 : add(mul(39, k), add(-8, 7))
21 : add(add(k, 21), mul(3, 1))
21 : add(add(k, 7), add(-19, 39))
21 : add(add(43, -19), add(k, 7))
20 : add(add(-1, 11), add(41, k))
21 : add(mul(1, k), add(19, 13))
1 : add(add(2, k), add(-8, k))
17 : add(add(k, -1), mul(13, 13))
19 : add(add(add(17, add(add(21, 11), mul(-1, 11))), k), add(31, add(21, 41)))
21 : add(add(4, k), add(10, 19))
19 : add(add(41, -19), add(41, k))
14 : add(mul(add(13, add(add(11, k), add(-19, 17))), k), add(1, add(4, 41)))
15 : add(add(k, 19), mul(19, 39))
21 : add(add(k, -19), add(5, 41))
15 : add(mul(13, 21), add(-1, k))
22 : add(add(13, k), add(4, 5))
18 : add(add(k, 21), mul(39, 3))
21 : add(add(k, -19), add(39, 39))
40 : add(mul(add(-8, add(add(k, 11), add(-1, 17))), k), add(31, add(9, 21)))
40 : add(add(-19, add(15, 41)), add(k, k))
24 : add(add(3, 15), add(k, -1))
21 : add(add(19, 1), add(k, 19))
20 : add(add(1, k), add(13, 41))
21 : add(add(-1, k), add(-8, 39))
22 : add(mul(add(13, add(add(-1, k), add(4, 1))), k), add(0, add(4, 13)))
22 : add(add(-19, 21), mul(39, k))
24 : add(add(k, -19), add(5, 31))
19 : add(mul(-1, -8), add(41, k))
1 : add(mul(21, k), add(15, -8))
27 : add(mul(k, 21), add(-1, 41))
8 : add(add(-12, mul(-1, 43)), mul(k, k))
21 : add(add(39, 0), add(k, 13))
20 : add(add(41, -19), add(k, 39))
22 : add(add(-1, -19), add(k, 1))
9 : add(mul(add(-19, add(mul(k, k), add(-19, 13))), k), add(21, add(17, 41)))
13 : add(mul(add(-8, add(add(k, -19), add(-19, -19))), k), add(31, add(-1, 41)))
23 : add(add(0, k), add(-19, 5))
24 : add(add(-12, 19), add(k, 1))
18 : add(add(27, k), add(41, 41))
15 : add(add(k, -1), mul(21, 13))
20 : add(add(11, 39), add(7, k))
25 : add(add(7, k), add(-12, 15))
44 : add(add(k, k), add(6, -1))
25 : add(add(7, 13), add(-19, k))
23 : add(mul(-1, -1), add(k, -12))
20 : add(add(41, 1), add(41, k))
20 : add(add(39, 19), add(41, k))
7 : add(mul(add(17, add(add(k, k), add(-19, 7))), k), add(43, add(-19, 41)))
31 : add(mul(41, 11), mul(k, 2))
25 : add(add(17, -19), add(7, k))
15 : add(add(k, -1), mul(21, 13))
21 : add(add(-19, k), add(41, 13))
15 : add(add(21, 13), mul(k, k))
14 : add(mul(41, 19), add(k, -1))
21 : add(add(-1, -19), add(k, -1))
19 : add(add(29, 39), add(k, 19))
24 : add(add(-11, k), add(-8, 13))
21 : add(add(-19, -8), add(k, 6))
20 : add(add(39, 19), add(k, 7))
20 : add(add(39, 21), add(39, k))
15 : add(mul(31, k), add(-1, -1))
20 : add(add(41, 17), add(mul(1, k), 9))
22 : add(add(39, 19), mul(k, 39))
20 : add(add(-19, 31), add(k, 39))
13 : add(add(39, k), mul(39, 43))
2 : add(mul(add(17, add(mul(k, 11), add(-1, 11))), k), add(13, add(13, -1)))
22 : add(add(-1, -19), add(3, k))
15 : add(add(21, 7), mul(k, 19))
24 : add(add(k, 39), add(-12, -11))
25 : add(add(-1, k), add(-12, 13))
14 : add(mul(21, 21), add(k, 39))
24 : add(add(21, -19), add(k, -12))
20 : add(add(19, 19), add(7, k))
22 : add(add(k, -19), add(21, -19))
27 : add(mul(add(-8, add(add(k, 11), add(7, 17))), k), add(31, add(9, 41)))
21 : add(add(39, 0), add(13, k))
20 : add(add(1, k), add(5, 39))
4 : add(mul(add(-19, add(mul(k, 11), add(13, 13))), k), add(21, add(k, 41)))
24 : add(add(5, 4), add(k, -12))
23 : add(add(2, k), add(-19, 6))
21 : add(mul(-1, -19), add(7, k))
21 : add(add(k, -1), add(21, 13))
21 : add(add(31, k), add(-1, 13))
21 : add(add(39, 0), add(k, -1))
17 : add(mul(13, 41), add(k, 11))
8 : add(mul(add(13, add(add(-1, k), add(-19, 17))), k), add(0, add(4, 41)))
20 : add(add(13, 41), add(k, 13))
21 : add(add(k, 4), add(-12, 43))
1 : add(add(k, k), mul(0, 0))
16 : add(add(k, 27), mul(13, 21))
21 : add(add(1, k), add(13, 39))
15 : add(mul(41, 19), add(k, -19))
21 : add(add(k, -8), add(-19, 4))
21 : add(add(k, 13), add(41, -1))
1 : add(add(17, -12), mul(0, 21))
20 : add(add(41, 7), add(k, 13))
18 : add(add(39, 39), add(k, 13))
14 : add(mul(k, -1), add(31, 13))
22 : add(add(-19, k), add(-19, 21))
8 : add(add(19, add(k, 19)), mul(31, 41))
20 : add(add(k, 39), add(-12, 41))
25 : add(add(11, 0), add(k, -1))
17 : add(add(39, -19), mul(k, 13))
22 : add(add(31, -12), mul(39, k))
19 : add(add(41, -12), add(k, 19))
4 : add(mul(add(17, add(mul(k, k), add(-19, 17))), k), add(21, add(17, 41)))
21 : add(add(-19, k), add(13, 39))
20 : add(mul(7, 13), add(k, 11))
23 : add(add(-1, 13), add(6, k))
26 : add(add(-1, k), add(-12, 15))
22 : add(add(31, -1), add(k, -1))
24 : add(mul(k, 4), add(19, k))
18 : add(mul(add(-8, add(add(k, 7), add(k, 21))), k), add(21, add(9, -19)))
21 : add(add(1, 27), add(k, 3))
26 : add(add(-12, 13), add(k, 1))
20 : add(add(k, 39), add(-12, 39))
21 : add(add(41, -19), add(k, 13))
25 : add(add(-1, -1), add(k, 13))
19 : add(mul(7, k), add(-1, 7))
20 : add(add(41, k), add(-1, 7))
8 : add(mul(add(17, mul(add(k, k), add(-19, 21))), k), add(21, add(17, 41)))
17 : add(mul(add(-8, mul(add(k, 11), add(-1, 17))), k), add(31, add(9, 39)))
8 : add(mul(add(-19, add(mul(k, 11), add(-19, -19))), k), add(-19, add(17, 41)))
5 : add(mul(add(-19, add(mul(k, -1), add(13, 13))), k), add(21, add(17, 41)))
24 : add(add(3, 17), add(k, -8))
31 : add(add(k, 5), mul(15, k))
25 : add(add(7, k), mul(7, -1))
21 : add(add(-19, 39), add(k, 39))
19 : add(mul(add(17, add(add(k, k), add(-19, 39))), k), add(21, add(-19, 41)))
5 : add(mul(add(-8, add(mul(k, 11), add(-19, 41))), k), add(31, add(9, 31)))
16 : add(add(k, -8), mul(21, 21))
19 : add(add(41, 39), add(k, 7))
9 : add(mul(-19, 4), add(k, 4))
24 : add(add(k, 27), add(-1, -19))
21 : add(add(k, -1), add(5, 39))
20 : add(add(39, 19), add(41, k))
23 : add(add(21, k), add(5, -8))
11 : add(mul(add(17, add(mul(k, 21), add(-1, 11))), k), add(13, add(13, 41)))
54 : add(add(k, -19), mul(5, k))
19 : add(add(43, k), add(13, 19))
26 : add(add(1, 19), mul(k, 39))
15 : add(mul(13, 21), add(k, 41))
4 : add(mul(add(17, mul(add(-12, k), add(-19, 7))), k), mul(21, add(41, 41)))
22 : add(add(13, 19), add(k, 9))
1 : add(mul(0, 0), mul(19, k))
12 : add(mul(39, 41), add(k, 43))
23 : add(mul(-8, 4), add(19, k))
21 : add(add(7, k), add(0, 27))
1 : add(mul(add(17, mul(mul(k, k), add(-11, 7))), k), add(21, add(-19, 41)))
12 : add(add(-19, 21), mul(k, k))
19 : add(add(13, 11), add(k, 39))
21 : add(add(-19, 15), add(k, 39))
14 : add(add(k, -8), mul(41, 19))
18 : add(mul(7, 13), add(k, -1))
23 : add(add(31, -12), add(0, k))
4 : add(mul(add(-19, add(mul(k, 11), add(-19, 13))), k), add(21, add(1, 41)))
19 : add(add(41, k), add(13, 19))
25 : add(add(k, 10), mul(0, -1))
24 : add(add(21, -19), add(k, 7))
24 : add(add(13, 13), add(k, -19))
2 : add(mul(add(27, mul(add(k, 4), add(-19, 17))), k), add(-1, add(17, 41)))
2 : add(mul(add(17, add(mul(k, 11), add(-1, 11))), k), add(13, add(13, 41)))
4 : add(mul(add(-8, add(mul(k, 11), add(-19, 17))), k), add(31, add(9, 31)))
21 : add(add(-12, k), add(39, 5))
17 : add(mul(add(17, add(mul(k, k), add(-19, 19))), k), add(21, add(17, 41)))
24 : add(add(-19, k), add(-1, 13))
19 : add(add(-19, add(15, 5)), mul(k, k))
25 : add(add(-19, 21), add(3, k))
19 : add(add(13, 11), add(k, 39))
20 : add(add(k, 41), mul(-19, -1))
13 : add(add(31, 21), mul(k, 31))
19 : add(add(13, k), add(21, 29))
14 : add(mul(27, 19), add(0, k))
1 : add(add(-11, k), add(-19, k))
18 : add(mul(k, 19), add(4, -1))
24 : add(add(7, k), add(-12, -1))
23 : add(add(21, -8), add(k, 5))
17 : add(add(13, k), mul(13, 41))
18 : add(mul(21, 13), mul(k, -1))
19 : add(add(k, 21), add(39, 21))
11 : add(mul(k, -1), add(21, 13))
31 : add(mul(27, 13), add(k, k))
21 : add(mul(39, k), add(41, 21))
25 : add(add(11, 0), add(k, -1))
1 : add(add(3, k), mul(-1, k))
14 : add(mul(41, 21), add(k, -19))
17 : add(add(13, k), mul(21, 5))
24 : add(add(21, -8), add(-19, k))
24 : add(add(21, -19), add(4, k))
1 : add(add(add(27, mul(mul(k, 4), add(-19, 17))), k), add(-1, add(17, 41)))
15 : add(add(k, 19), mul(43, 7))
18 : add(add(5, k), mul(-11, -19))
20 : add(add(39, -8), add(k, 39))
38 : add(add(add(13, add(add(-1, k), add(-19, 17))), k), add(0, add(4, 41)))
13 : add(mul(19, k), mul(7, -8))
15 : add(mul(13, 39), mul(k, k))
20 : add(add(41, k), add(13, -8))
18 : add(add(-12, k), mul(39, 5))
23 : add(add(39, -1), mul(k, 5))
22 : add(add(k, -1), add(21, 21))
