max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.5, 

Maximum Fitness: 86
Fitness score : Individual 
0 : mul(add(47, 6), mul(67, k))
0 : mul(add(k, 5), add(21, k))
0 : mul(add(17, -21), add(k, 13))
0 : mul(mul(12, 0), add(15, 67))
1 : add(mul(47, 7), mul(19, -10))
0 : mul(mul(5, 23), add(25, -9))
0 : mul(add(19, 13), add(17, 17))
0 : mul(add(41, 41), add(21, 21))
0 : mul(add(7, 7), mul(-1, 0))
0 : mul(mul(k, k), add(23, 7))
0 : mul(mul(add(21, 53), 13), add(-23, k))
0 : mul(add(21, -37), add(3, -21))
1 : add(mul(13, 9), add(7, 13))
0 : mul(mul(k, -8), mul(19, 17))
0 : add(add(67, -21), mul(67, -21))
0 : mul(mul(k, 17), add(k, 15))
0 : mul(mul(k, 41), add(k, 7))
0 : mul(mul(0, k), add(25, 19))
0 : add(mul(-37, 12), mul(41, 3))
0 : add(mul(41, 5), mul(29, 37))
0 : mul(add(35, 3), mul(-21, 67))
0 : mul(add(41, 13), add(13, 12))
1 : add(add(21, 5), mul(1, 3))
1 : add(add(27, 11), add(0, 33))
0 : mul(add(21, k), mul(5, k))
0 : mul(mul(13, 41), add(5, 13))
0 : add(add(13, 19), add(12, 7))
0 : add(mul(6, 41), mul(k, 3))
0 : mul(add(21, 1), mul(53, 41))
0 : mul(mul(31, 23), mul(-1, k))
0 : mul(add(67, k), add(k, k))
0 : add(add(5, 19), mul(7, 21))
0 : mul(mul(19, k), mul(15, 23))
0 : add(mul(67, -23), add(13, -21))
0 : add(mul(67, 21), add(1, 7))
1 : add(mul(41, 5), add(5, -13))
0 : mul(mul(3, 19), add(21, 41))
0 : add(add(19, 7), add(13, 53))
1 : add(add(-9, 29), mul(7, -1))
1 : add(add(7, -1), mul(53, 17))
0 : add(add(21, 41), add(-10, 67))
0 : mul(mul(67, 31), mul(21, -3))
0 : add(add(29, 13), add(1, 41))
0 : mul(mul(41, 17), mul(-23, 23))
0 : add(mul(0, 21), add(27, 23))
0 : mul(mul(27, -13), add(7, k))
14 : add(mul(7, -21), mul(k, 23))
20 : add(add(37, k), mul(6, 5))
1 : add(add(k, k), add(-21, -9))
21 : add(add(18, k), mul(5, -8))
14 : add(mul(-2, 17), add(k, -21))
40 : add(mul(9, k), add(k, 11))
20 : add(add(35, 13), add(k, 21))
21 : add(add(13, 17), add(k, 7))
22 : add(add(5, 3), add(21, k))
24 : add(add(3, -27), add(k, 21))
14 : add(mul(17, -21), mul(k, 13))
25 : add(mul(5, k), add(23, -21))
1 : mul(add(-21, k), add(41, 2))
11 : add(mul(12, -9), add(41, k))
19 : add(add(35, k), add(27, 15))
20 : add(add(23, k), add(21, 13))
21 : add(add(13, 21), add(5, k))
21 : add(add(-21, 7), add(k, 53))
1 : add(add(37, 3), mul(k, -21))
20 : add(add(21, 13), add(k, 31))
19 : add(mul(19, 7), add(k, 3))
14 : add(mul(37, 21), add(67, k))
24 : add(add(18, k), add(11, -21))
21 : add(add(67, 13), add(21, k))
21 : add(add(37, -3), add(k, 5))
19 : add(add(21, k), add(17, 41))
19 : add(mul(13, 5), add(k, 41))
21 : add(add(13, 7), add(k, 13))
14 : add(mul(35, 13), add(17, k))
21 : add(add(7, k), add(21, 5))
1 : add(add(-23, 53), mul(-3, k))
24 : add(add(k, 7), add(23, -21))
20 : add(add(k, 7), add(41, 13))
17 : add(add(k, 7), mul(67, 21))
17 : add(mul(k, k), add(17, -23))
16 : add(add(27, 13), mul(23, k))
18 : add(add(1, 67), add(k, 41))
18 : add(add(37, 5), add(k, 67))
24 : add(add(k, 4), add(13, -9))
18 : add(add(67, k), add(19, 41))
14 : add(add(k, 18), mul(17, 41))
19 : add(add(7, k), add(41, 41))
25 : add(add(k, 4), mul(21, 0))
20 : add(add(41, 0), add(k, 41))
1 : add(add(k, k), add(5, -23))
19 : add(add(-21, 41), add(67, k))
14 : add(mul(41, 29), add(k, -8))
22 : add(add(21, -10), add(17, k))
16 : add(mul(7, 37), add(k, -10))
14 : add(mul(37, 13), add(3, k))
20 : add(add(47, 7), add(k, 17))
18 : add(mul(7, 25), add(-23, k))
17 : add(add(67, 31), add(k, 21))
19 : add(add(-10, 19), mul(7, k))
21 : add(add(7, k), add(-10, 35))
32 : add(mul(7, -1), mul(k, 3))
11 : add(mul(11, 7), mul(k, -3))
21 : add(add(18, 37), add(-21, k))
24 : mul(add(1, 0), add(13, k))
1 : add(add(13, 13), add(11, -6))
2 : add(add(67, 7), mul(-21, k))
21 : add(add(33, 3), add(k, 7))
20 : add(mul(7, 13), add(-21, k))
21 : add(mul(5, k), add(21, 0))
18 : add(mul(k, 7), add(67, 19))
21 : add(add(8, 3), add(13, k))
19 : add(add(53, 21), add(6, k))
28 : add(add(-23, 21), mul(21, k))
20 : add(add(k, -8), add(11, 67))
21 : add(add(k, -23), add(11, -9))
39 : add(mul(-3, -9), add(k, k))
19 : add(add(3, k), add(21, 53))
14 : add(add(k, 23), mul(21, 23))
19 : add(mul(k, 7), add(13, 19))
21 : add(add(-21, k), add(53, 5))
21 : add(add(5, k), add(6, 41))
40 : add(add(k, 23), mul(53, k))
5 : add(mul(67, 41), mul(k, k))
1 : add(add(k, k), mul(-10, 5))
16 : add(mul(17, k), add(-23, 53))
25 : add(add(k, 5), add(27, -27))
24 : add(add(-9, 9), add(k, 12))
35 : add(add(k, 19), mul(21, k))
24 : add(add(k, 11), add(12, -10))
35 : add(mul(k, 13), add(67, k))
36 : add(add(k, 35), mul(7, k))
30 : add(mul(21, 67), add(k, k))
40 : add(add(18, k), add(1, k))
35 : add(mul(7, 19), add(k, k))
11 : add(mul(41, 31), mul(k, 17))
38 : add(add(add(21, k), k), add(13, 21))
19 : add(add(17, 53), add(67, k))
21 : add(add(7, 13), add(k, 13))
25 : add(add(3, -21), add(k, 17))
14 : add(add(19, k), mul(21, 21))
24 : add(add(21, k), add(15, -23))
14 : add(add(k, 5), mul(67, 17))
15 : add(add(67, k), mul(35, 21))
21 : add(add(-3, k), add(19, 27))
15 : add(add(-21, -23), add(-3, k))
15 : add(add(21, k), mul(21, 13))
20 : add(add(53, 7), add(-10, k))
39 : add(mul(k, 13), add(k, 17))
17 : add(mul(6, 23), add(k, -21))
17 : add(mul(13, k), mul(7, 5))
30 : add(mul(15, k), add(0, 7))
17 : add(add(k, -21), mul(31, 13))
19 : add(add(53, k), add(23, 17))
13 : add(mul(31, k), mul(45, 13))
20 : add(add(k, 21), add(31, 17))
11 : add(mul(53, -21), mul(k, k))
13 : add(mul(53, 13), add(18, k))
19 : add(add(18, 41), add(18, k))
20 : add(mul(7, 13), add(7, k))
21 : add(add(4, k), add(7, 21))
20 : add(add(31, 19), add(17, k))
19 : add(add(-8, 35), add(21, k))
11 : add(add(-21, k), add(-21, -21))
18 : add(add(21, k), mul(29, 7))
20 : add(add(11, k), mul(-9, -6))
20 : add(add(27, k), add(23, 33))
24 : add(add(6, 7), add(k, -21))
29 : add(add(7, -23), mul(15, k))
1 : add(add(11, 19), mul(k, -3))
24 : add(add(21, -23), add(k, 17))
